year,sex,age,correction,type
2001,M,4,-0.9026080757993818,prevalence
2002,M,4,-0.9028227472616018,prevalence
2003,M,4,-0.903133770823793,prevalence
2004,M,4,-0.903537850617299,prevalence
2005,M,4,-0.884893266885498,prevalence
2006,M,4,-0.8662286213093536,prevalence
2007,M,4,-0.8475891152899098,prevalence
2008,M,4,-0.8290166130939326,prevalence
2009,M,4,-0.8105494181879781,prevalence
2010,M,4,-0.7904294575627416,prevalence
2011,M,4,-0.7627399515841414,prevalence
2012,M,4,-0.7354375748209921,prevalence
2013,M,4,-0.7086195284197017,prevalence
2014,M,4,-0.6823701358665615,prevalence
2015,M,4,-0.6567610737926947,prevalence
2016,M,4,-0.6318518802730833,prevalence
2017,M,4,-0.6076906444434071,prevalence
2018,M,4,-0.584314886386197,prevalence
2019,M,4,-0.5617525333361212,prevalence
2020,M,4,-0.5400229746079748,prevalence
2021,M,4,-0.5191380239205616,prevalence
2022,M,4,-0.49910294227455165,prevalence
2023,M,4,-0.47991734629857535,prevalence
2024,M,4,-0.461576075224633,prevalence
2025,M,4,-0.44406995768823604,prevalence
2026,M,4,-0.426328910009146,prevalence
2000,F,5,-0.8193987188873355,prevalence
2001,F,5,-0.8191749654321868,prevalence
2002,F,5,-0.8190572966204323,prevalence
2003,F,5,-0.8190469966600292,prevalence
2004,F,5,-0.819144163203053,prevalence
2005,F,5,-0.8193477604331948,prevalence
2006,F,5,-0.8042135783374733,prevalence
2007,F,5,-0.7892857451602829,prevalence
2008,F,5,-0.7745909068125524,prevalence
2009,F,5,-0.760152191402905,prevalence
2010,F,5,-0.7459891940132646,prevalence
2011,F,5,-0.730766613683029,prevalence
2012,F,5,-0.7101311844278028,prevalence
2013,F,5,-0.6901363264905752,prevalence
2014,F,5,-0.6708232507642687,prevalence
2015,F,5,-0.652223007217066,prevalence
2016,F,5,-0.6343572061125738,prevalence
2017,F,5,-0.6172390224447976,prevalence
2018,F,5,-0.6008740591333728,prevalence
2019,F,5,-0.5852614051504079,prevalence
2020,F,5,-0.5703945422378323,prevalence
2021,F,5,-0.556262294051109,prevalence
2022,F,5,-0.5428496294288692,prevalence
2023,F,5,-0.530138454516835,prevalence
2024,F,5,-0.5181082800902601,prevalence
2025,F,5,-0.5067368249803567,prevalence
2026,F,5,-0.49509364592239274,prevalence
2000,M,5,-0.8708281128478839,prevalence
2001,M,5,-0.8704842568774188,prevalence
2002,M,5,-0.8703340553106258,prevalence
2003,M,5,-0.8703793922735582,prevalence
2004,M,5,-0.870619678425914,prevalence
2005,M,5,-0.8710519627689183,prevalence
2006,M,5,-0.8559060386048121,prevalence
2007,M,5,-0.8409249568483557,prevalence
2008,M,5,-0.8261414375773041,prevalence
2009,M,5,-0.8115831969362307,prevalence
2010,M,5,-0.7972729728225402,prevalence
2011,M,5,-0.7817909984007275,prevalence
2012,M,5,-0.7604340768403869,prevalence
2013,M,5,-0.7396025803769792,prevalence
2014,M,5,-0.7193533144420798,prevalence
2015,M,5,-0.699730847850441,prevalence
2016,M,5,-0.6807684474886371,prevalence
2017,M,5,-0.6624892111081913,prevalence
2018,M,5,-0.6449072952913204,prevalence
2019,M,5,-0.6280291614615502,prevalence
2020,M,5,-0.6118548104010517,prevalence
2021,M,5,-0.59637900790828835,prevalence
2022,M,5,-0.5815922491609243,prevalence
2023,M,5,-0.5674818163389197,prevalence
2024,M,5,-0.5540325459668249,prevalence
2025,M,5,-0.5412275375151896,prevalence
2026,M,5,-0.527487173815371,prevalence
2000,F,6,-0.6625794211546725,prevalence
2001,F,6,-0.6620892020976636,prevalence
2002,F,6,-0.6617047490622384,prevalence
2003,F,6,-0.6614308954644817,prevalence
2004,F,6,-0.6612711288788451,prevalence
2005,F,6,-0.6612274764972467,prevalence
2006,F,6,-0.6613005048166304,prevalence
2007,F,6,-0.6500769253025056,prevalence
2008,F,6,-0.6391039802384502,prevalence
2009,F,6,-0.6283975689305176,prevalence
2010,F,6,-0.6179701597792553,prevalence
2011,F,6,-0.6078308279277858,prevalence
2012,F,6,-0.5970149861333979,prevalence
2013,F,6,-0.5824260842630545,prevalence
2014,F,6,-0.5684238488034571,prevalence
2015,F,6,-0.5550232543812278,prevalence
2016,F,6,-0.5422318218186105,prevalence
2017,F,6,-0.5300505081118732,prevalence
2018,F,6,-0.5184746364174632,prevalence
2019,F,6,-0.5074947764796074,prevalence
2020,F,6,-0.4970976458877213,prevalence
2021,F,6,-0.48726686704621464,prevalence
2022,F,6,-0.4779837500499583,prevalence
2023,F,6,-0.4692278895104632,prevalence
2024,F,6,-0.4609777713614018,prevalence
2025,F,6,-0.453211208460189,prevalence
2026,F,6,-0.44500939029693454,prevalence
2000,M,6,-0.6985768017892426,prevalence
2001,M,6,-0.6978056686110005,prevalence
2002,M,6,-0.69723233254261,prevalence
2003,M,6,-0.6968649168127115,prevalence
2004,M,6,-0.6967086593537214,prevalence
2005,M,6,-0.696765804883876,prevalence
2006,M,6,-0.6970355271610517,prevalence
2007,M,6,-0.6856332276085962,prevalence
2008,M,6,-0.6744852040169754,prevalence
2009,M,6,-0.663610671906955,prevalence
2010,M,6,-0.6530236231684468,prevalence
2011,M,6,-0.6427329997181801,prevalence
2012,M,6,-0.6316912992270635,prevalence
2013,M,6,-0.6164888087711999,prevalence
2014,M,6,-0.6018196318751226,prevalence
2015,M,6,-0.5877069002476917,prevalence
2016,M,6,-0.5741644430477404,prevalence
2017,M,6,-0.5611979996618328,prevalence
2018,M,6,-0.5488064656591424,prevalence
2019,M,6,-0.5369831541196383,prevalence
2020,M,6,-0.525716931652851,prevalence
2021,M,6,-0.514993344810949,prevalence
2022,M,6,-0.5047955845465683,prevalence
2023,M,6,-0.4951052992913018,prevalence
2024,M,6,-0.4859033232790082,prevalence
2025,M,6,-0.4771702137578905,prevalence
2026,M,6,-0.467400073703611,prevalence
2000,F,7,-0.5162566826434195,prevalence
2001,F,7,-0.5155983250253905,prevalence
2002,F,7,-0.515037183859549,prevalence
2003,F,7,-0.5145810164505183,prevalence
2004,F,7,-0.5142362130855612,prevalence
2005,F,7,-0.5140076496624736,prevalence
2006,F,7,-0.5138985755726752,prevalence
2007,F,7,-0.5139105562076037,prevalence
2008,F,7,-0.5068994227921745,prevalence
2009,F,7,-0.5001469186280523,prevalence
2010,F,7,-0.4936575355423664,prevalence
2011,F,7,-0.4874329151419767,prevalence
2012,F,7,-0.48147197946003006,prevalence
2013,F,7,-0.4751872833258453,prevalence
2014,F,7,-0.46673682557417756,prevalence
2015,F,7,-0.4587495462633562,prevalence
2016,F,7,-0.45121902438711503,prevalence
2017,F,7,-0.4441348165834164,prevalence
2018,F,7,-0.4374831416851763,prevalence
2019,F,7,-0.43124762771273867,prevalence
2020,F,7,-0.4254098930845687,prevalence
2021,F,7,-0.41995023814877447,prevalence
2022,F,7,-0.4148480984610555,prevalence
2023,F,7,-0.4100825731105459,prevalence
2024,F,7,-0.40563281784395455,prevalence
2025,F,7,-0.40147834272948046,prevalence
2026,F,7,-0.3966891468122966,prevalence
2000,M,7,-0.5357125800016902,prevalence
2001,M,7,-0.5346290979607492,prevalence
2002,M,7,-0.533730214671009,prevalence
2003,M,7,-0.533029891297742,prevalence
2004,M,7,-0.5325391126520456,prevalence
2005,M,7,-0.5322656293498264,prevalence
2006,M,7,-0.5322137790449692,prevalence
2007,M,7,-0.5323843955750014,prevalence
2008,M,7,-0.5250988706011395,prevalence
2009,M,7,-0.5181230010695876,prevalence
2010,M,7,-0.5114611266304226,prevalence
2011,M,7,-0.5051127783395803,prevalence
2012,M,7,-0.49907302674135606,prevalence
2013,M,7,-0.49268225264962257,prevalence
2014,M,7,-0.4838533122773761,prevalence
2015,M,7,-0.475495425151316,prevalence
2016,M,7,-0.4676016552243261,prevalence
2017,M,7,-0.46015969332405254,prevalence
2018,M,7,-0.4531529489327934,prevalence
2019,M,7,-0.44656169478713703,prevalence
2020,M,7,-0.4403639804702693,prevalence
2021,M,7,-0.4345366363782512,prevalence
2022,M,7,-0.42905600222845636,prevalence
2023,M,7,-0.4238986697807756,prevalence
2024,M,7,-0.4190419727456904,prevalence
2025,M,7,-0.4144644371197376,prevalence
2026,M,7,-0.4086870112590856,prevalence
2000,F,8,-0.3229787102167742,prevalence
2001,F,8,-0.32219522281337876,prevalence
2002,F,8,-0.32149970398248734,prevalence
2003,F,8,-0.32090233231575993,prevalence
2004,F,8,-0.32041202336960095,prevalence
2005,F,8,-0.320036192873121,prevalence
2006,F,8,-0.3197805779242232,prevalence
2007,F,8,-0.3196491368660277,prevalence
2008,F,8,-0.3196438755714261,prevalence
2009,F,8,-0.31976489661157853,prevalence
2010,F,8,-0.3200103144341744,prevalence
2011,F,8,-0.3203763550903376,prevalence
2012,F,8,-0.32085741541666024,prevalence
2013,F,8,-0.3214462140358942,prevalence
2014,F,8,-0.3221339571519548,prevalence
2015,F,8,-0.32291051590009706,prevalence
2016,F,8,-0.32376482587668554,prevalence
2017,F,8,-0.32468479694399266,prevalence
2018,F,8,-0.3256580260652045,prevalence
2019,F,8,-0.3266716819414515,prevalence
2020,F,8,-0.32771303907043103,prevalence
2021,F,8,-0.32876963754066885,prevalence
2022,F,8,-0.3298295251784861,prevalence
2023,F,8,-0.3308814980502718,prevalence
2024,F,8,-0.33191527224949,prevalence
2025,F,8,-0.33292163557271137,prevalence
2026,F,8,-0.3329216355727114,prevalence
2000,M,8,-0.31079314787491136,prevalence
2001,M,8,-0.3094692856659003,prevalence
2002,M,8,-0.30831000293206656,prevalence
2003,M,8,-0.30733458030958394,prevalence
2004,M,8,-0.30655934058760254,prevalence
2005,M,8,-0.3059974519584307,prevalence
2006,M,8,-0.30565858355513226,prevalence
2007,M,8,-0.3055485000387436,prevalence
2008,M,8,-0.3056691211366668,prevalence
2009,M,8,-0.30601836365769663,prevalence
2010,M,8,-0.3065902320900865,prevalence
2011,M,8,-0.30737494286279327,prevalence
2012,M,8,-0.30835917463642437,prevalence
2013,M,8,-0.30952640652521984,prevalence
2014,M,8,-0.3108572968825021,prevalence
2015,M,8,-0.3123301981129603,prevalence
2016,M,8,-0.313921703965542,prevalence
2017,M,8,-0.31560722805074426,prevalence
2018,M,8,-0.3173616079144004,prevalence
2019,M,8,-0.3191597569688504,prevalence
2020,M,8,-0.320977261081506,prevalence
2021,M,8,-0.3227908885459367,prevalence
2022,M,8,-0.3245791671004305,prevalence
2023,M,8,-0.32632269040663175,prevalence
2024,M,8,-0.3280045067873222,prevalence
2025,M,8,-0.32961035215862705,prevalence
2026,M,8,-0.3296103521586271,prevalence
2000,F,9,-0.32235499723872935,prevalence
2001,F,9,-0.32139054469602746,prevalence
2002,F,9,-0.3205120480772624,prevalence
2003,F,9,-0.3197327029254448,prevalence
2004,F,9,-0.3190645232517336,prevalence
2005,F,9,-0.31851790857946377,prevalence
2006,F,9,-0.31810152608832887,prevalence
2007,F,9,-0.3178220735599514,prevalence
2008,F,9,-0.31768405133757877,prevalence
2009,F,9,-0.3176896810103756,prevalence
2010,F,9,-0.3178388826520425,prevalence
2011,F,9,-0.3181292217643808,prevalence
2012,F,9,-0.31855605459359654,prevalence
2013,F,9,-0.3191125140547306,prevalence
2014,F,9,-0.3197897966782139,prevalence
2015,F,9,-0.3205773298750083,prevalence
2016,F,9,-0.32146303822887856,prevalence
2017,F,9,-0.3224336072231541,prevalence
2018,F,9,-0.32347496411805793,prevalence
2019,F,9,-0.324572297020114,prevalence
2020,F,9,-0.32571069997859264,prevalence
2021,F,9,-0.3268753753149107,prevalence
2022,F,9,-0.3280519468097601,prevalence
2023,F,9,-0.32922674941190966,prevalence
2024,F,9,-0.33038718806461265,prevalence
2025,F,9,-0.3315217206964594,prevalence
2026,F,9,-0.33152172069645974,prevalence
2000,M,9,-0.3111278762921283,prevalence
2001,M,9,-0.3094855704588325,prevalence
2002,M,9,-0.30799606170270705,prevalence
2003,M,9,-0.30668497440379283,prevalence
2004,M,9,-0.30557522693070255,prevalence
2005,M,9,-0.3046865242846244,prevalence
2006,M,9,-0.30403483256891095,prevalence
2007,M,9,-0.3036319414640526,prevalence
2008,M,9,-0.3034851643597768,prevalence
2009,M,9,-0.3035972079404299,prevalence
2010,M,9,-0.3039659756388091,prevalence
2011,M,9,-0.30458483845170153,prevalence
2012,M,9,-0.30544252447991993,prevalence
2013,M,9,-0.3065236263560476,prevalence
2014,M,9,-0.30780894550620314,prevalence
2015,M,9,-0.30927588104865433,prevalence
2016,M,9,-0.3108992225404181,prevalence
2017,M,9,-0.31265160185272767,prevalence
2018,M,9,-0.3145044021785223,prevalence
2019,M,9,-0.3164284392110853,prevalence
2020,M,9,-0.3183947267701672,prevalence
2021,M,9,-0.32037523210545055,prevalence
2022,M,9,-0.322343530601597,prevalence
2023,M,9,-0.3242754066878192,prevalence
2024,M,9,-0.32614934798629547,prevalence
2025,M,9,-0.32794681629511113,prevalence
2026,M,9,-0.3279468162951108,prevalence
2000,F,10,-0.3220358501822049,prevalence
2001,F,10,-0.32092197877715534,prevalence
2002,F,10,-0.31988839231559824,prevalence
2003,F,10,-0.31895073363169807,prevalence
2004,F,10,-0.31812353140635613,prevalence
2005,F,10,-0.3174199069086116,prevalence
2006,F,10,-0.316851187663103,prevalence
2007,F,10,-0.3164266644295045,prevalence
2008,F,10,-0.31615333901771053,prevalence
2009,F,10,-0.31603574425123765,prevalence
2010,F,10,-0.31607584564063645,prevalence
2011,F,10,-0.3162729721263962,prevalence
2012,F,10,-0.3166238637988622,prevalence
2013,F,10,-0.3171226795504351,prevalence
2014,F,10,-0.3177612417714765,prevalence
2015,F,10,-0.3185291943111673,prevalence
2016,F,10,-0.3194142613422588,prevalence
2017,F,10,-0.32040255708331894,prevalence
2018,F,10,-0.3214789483791129,prevalence
2019,F,10,-0.32262741361106256,prevalence
2020,F,10,-0.3238314336603981,prevalence
2021,F,10,-0.32507437981578075,prevalence
2022,F,10,-0.32633989425382826,prevalence
2023,F,10,-0.32761223160085545,prevalence
2024,F,10,-0.32887662394765627,prevalence
2025,F,10,-0.33011945652009317,prevalence
2026,F,10,-0.33011945652009367,prevalence
2000,M,10,-0.31214658872630785,prevalence
2001,M,10,-0.3102501775248124,prevalence
2002,M,10,-0.30848451720443953,prevalence
2003,M,10,-0.30688039603228806,prevalence
2004,M,10,-0.30546645224524543,prevalence
2005,M,10,-0.3042684831547495,prevalence
2006,M,10,-0.30330865001011476,prevalence
2007,M,10,-0.30260490071733515,prevalence
2008,M,10,-0.3021704929193321,prevalence
2009,M,10,-0.30201365309414574,prevalence
2010,M,10,-0.30213734261458086,prevalence
2011,M,10,-0.30253923804159794,prevalence
2012,M,10,-0.30321172874749913,prevalence
2013,M,10,-0.3041421128108908,prevalence
2014,M,10,-0.3053129853507121,prevalence
2015,M,10,-0.30670265667632507,prevalence
2016,M,10,-0.30828574507766326,prevalence
2017,M,10,-0.31003384877273266,prevalence
2018,M,10,-0.31191644596617163,prevalence
2019,M,10,-0.31390152643254,prevalence
2020,M,10,-0.315956698363811,prevalence
2021,M,10,-0.3180499608053125,prevalence
2022,M,10,-0.32015055658181824,prevalence
2023,M,10,-0.32222979295112575,prevalence
2024,M,10,-0.32426156393014405,prevalence
2025,M,10,-0.3262230583999168,prevalence
2026,M,10,-0.3262230583999168,prevalence
2000,F,11,-0.3219852041913711,prevalence
2001,F,11,-0.32075581031619477,prevalence
2002,F,11,-0.3195985907253972,prevalence
2003,F,11,-0.3185308827444613,prevalence
2004,F,11,-0.3175691784396206,prevalence
2005,F,11,-0.3167286836859158,prevalence
2006,F,11,-0.31602295946413955,prevalence
2007,F,11,-0.31546360030016174,prevalence
2008,F,11,-0.3150598676637807,prevalence
2009,F,11,-0.31481851251957643,prevalence
2010,F,11,-0.31474364879144456,prevalence
2011,F,11,-0.31483648749630494,prevalence
2012,F,11,-0.31509548788870295,prevalence
2013,F,11,-0.31551628075197324,prevalence
2014,F,11,-0.3160918249798332,prevalence
2015,F,11,-0.31681258822609004,prevalence
2016,F,11,-0.31766674983037996,prevalence
2017,F,11,-0.31864059549671664,prevalence
2018,F,11,-0.3197187041621139,prevalence
2019,F,11,-0.3208845086194143,prevalence
2020,F,11,-0.3221205909157281,prevalence
2021,F,11,-0.32340915181151214,prevalence
2022,F,11,-0.3247324395992646,prevalence
2023,F,11,-0.3260731117042819,prevalence
2024,F,11,-0.32741464574979906,prevalence
2025,F,11,-0.32874164942583506,prevalence
2026,F,11,-0.32874164942583506,prevalence
2000,M,11,-0.31366888020263123,prevalence
2001,M,11,-0.3115911816415753,prevalence
2002,M,11,-0.3096153779193656,prevalence
2003,M,11,-0.30777579775748204,prevalence
2004,M,11,-0.30610553625242876,prevalence
2005,M,11,-0.30463525527297,prevalence
2006,M,11,-0.3033925834576807,prevalence
2007,M,11,-0.30240121640986883,prevalence
2008,M,11,-0.3016801733405578,prevalence
2009,M,11,-0.3012434423862951,prevalence
2010,M,11,-0.3010995520781482,prevalence
2011,M,11,-0.30125130185016596,prevalence
2012,M,11,-0.3016957270269941,prevalence
2013,M,11,-0.3024241447566423,prevalence
2014,M,11,-0.3034225127317819,prevalence
2015,M,11,-0.30467155488624686,prevalence
2016,M,11,-0.30614749358050103,prevalence
2017,M,11,-0.30782271786337145,prevalence
2018,M,11,-0.30966633567251495,prevalence
2019,M,11,-0.3116452981158265,prevalence
2020,M,11,-0.3137252343207565,prevalence
2021,M,11,-0.31587141448769024,prevalence
2022,M,11,-0.3180498777147825,prevalence
2023,M,11,-0.3202280513452878,prevalence
2024,M,11,-0.32237586339539637,prevalence
2025,M,11,-0.32446626105849813,prevalence
2026,M,11,-0.3244662610584857,prevalence
2000,F,12,-0.3221594723108076,prevalence
2001,F,12,-0.32084790727128576,prevalence
2002,F,12,-0.31959902657543854,prevalence
2003,F,12,-0.3184311724196785,prevalence
2004,F,12,-0.3173621069721606,prevalence
2005,F,12,-0.31640850489935635,prevalence
2006,F,12,-0.31558560721647233,prevalence
2007,F,12,-0.3149068017511246,prevalence
2008,F,12,-0.314383289660255,prevalence
2009,F,12,-0.3140238085669838,prevalence
2010,F,12,-0.3138343962891737,prevalence
2011,F,12,-0.31381825070319364,prevalence
2012,F,12,-0.3139756500151527,prevalence
2013,F,12,-0.31430392971816906,prevalence
2014,F,12,-0.314797559630421,prevalence
2015,F,12,-0.3154483183801695,prevalence
2016,F,12,-0.316245413254181,prevalence
2017,F,12,-0.31717585079680943,prevalence
2018,F,12,-0.31822470858459495,prevalence
2019,F,12,-0.31937553253240564,prevalence
2020,F,12,-0.32061074314898147,prevalence
2021,F,12,-0.3219120660195026,prevalence
2022,F,12,-0.32326099639650446,prevalence
2023,F,12,-0.32463918706216705,prevalence
2024,F,12,-0.32602890428543163,prevalence
2025,F,12,-0.3274133795579145,prevalence
2026,F,12,-0.3274133795579165,prevalence
2000,M,12,-0.3155191372991365,prevalence
2001,M,12,-0.31333269731276575,prevalence
2002,M,12,-0.31121621683778994,prevalence
2003,M,12,-0.3092057782775497,prevalence
2004,M,12,-0.3073370436537341,prevalence
2005,M,12,-0.3056442413631501,prevalence
2006,M,12,-0.3041591293602543,prevalence
2007,M,12,-0.30291017893074995,prevalence
2008,M,12,-0.30192159191598544,prevalence
2009,M,12,-0.3012127614549165,prevalence
2010,M,12,-0.3007977042849976,prevalence
2011,M,12,-0.3006846037748392,prevalence
2012,M,12,-0.3008757368645684,prevalence
2013,M,12,-0.30136727641386996,prevalence
2014,M,12,-0.3021495491695274,prevalence
2015,M,12,-0.30320707848836825,prevalence
2016,M,12,-0.30451919170857544,prevalence
2017,M,12,-0.306060501658056,prevalence
2018,M,12,-0.3078016223943403,prevalence
2019,M,12,-0.3097101028956969,prevalence
2020,M,12,-0.31175124044013963,prevalence
2021,M,12,-0.3138891347813008,prevalence
2022,M,12,-0.3160877723166911,prevalence
2023,M,12,-0.31831204230792204,prevalence
2024,M,12,-0.3205286526394823,prevalence
2025,M,12,-0.3227069847131753,prevalence
2026,M,12,-0.3227069847131753,prevalence
2000,F,13,-0.3225125237410699,prevalence
2001,F,13,-0.32114946017800483,prevalence
2002,F,13,-0.3198391162539772,prevalence
2003,F,13,-0.3186002120836149,prevalence
2004,F,13,-0.3174510955780993,prevalence
2005,F,13,-0.3164093266364945,prevalence
2006,F,13,-0.31549121107964817,prevalence
2007,F,13,-0.314711431499276,prevalence
2008,F,13,-0.3140826587269148,prevalence
2009,F,13,-0.3136152470010349,prevalence
2010,F,13,-0.3133169554846781,prevalence
2011,F,13,-0.31319277110939686,prevalence
2012,F,13,-0.3132447687011872,prevalence
2013,F,13,-0.3134720951929025,prevalence
2014,F,13,-0.3138709441261198,prevalence
2015,F,13,-0.31443464903243024,prevalence
2016,F,13,-0.31515389892022316,prevalence
2017,F,13,-0.3160169434760408,prevalence
2018,F,13,-0.3170098985340554,prevalence
2019,F,13,-0.31811705246551414,prevalence
2020,F,13,-0.31932131768339944,prevalence
2021,F,13,-0.3206046152434874,prevalence
2022,F,13,-0.32194833215104746,prevalence
2023,F,13,-0.3233337559141772,prevalence
2024,F,13,-0.3247425062138462,prevalence
2025,F,13,-0.32615693409738317,prevalence
2026,F,13,-0.32615693409738494,prevalence
2000,M,13,-0.31754287203613757,prevalence
2001,M,13,-0.3153136672265769,prevalence
2002,M,13,-0.3131225894954498,prevalence
2003,M,13,-0.3110056943330669,prevalence
2004,M,13,-0.3089995398416245,prevalence
2005,M,13,-0.3071401657589615,prevalence
2006,M,13,-0.305462099435831,prevalence
2007,M,13,-0.303997154143753,prevalence
2008,M,13,-0.3027736918096527,prevalence
2009,M,13,-0.30181570117161405,prevalence
2010,M,13,-0.3011421831971449,prevalence
2011,M,13,-0.3007665422010796,prevalence
2012,M,13,-0.3006963054590591,prevalence
2013,M,13,-0.3009328783703631,prevalence
2014,M,13,-0.301471521010649,prevalence
2015,M,13,-0.3023014937385344,prevalence
2016,M,13,-0.3034062460071352,prevalence
2017,M,13,-0.30476406726174293,prevalence
2018,M,13,-0.306348480195155,prevalence
2019,M,13,-0.3081291025213,prevalence
2020,M,13,-0.3100725424993888,prevalence
2021,M,13,-0.31214334131393656,prevalence
2022,M,13,-0.31430502951201744,prevalence
2023,M,13,-0.3165211977506494,prevalence
2024,M,13,-0.31875652019435663,prevalence
2025,M,13,-0.3209777236012933,prevalence
2026,M,13,-0.32097772360129334,prevalence
2000,F,14,-0.3229994011605358,prevalence
2001,F,14,-0.3216115205950201,prevalence
2002,F,14,-0.3202666082582459,prevalence
2003,F,14,-0.31898320081386666,prevalence
2004,F,14,-0.3177797111195461,prevalence
2005,F,14,-0.31667396826877425,prevalence
2006,F,14,-0.315682817962595,prevalence
2007,F,14,-0.3148217039552841,prevalence
2008,F,14,-0.3141043150993825,prevalence
2009,F,14,-0.3135422050071222,prevalence
2010,F,14,-0.31314448846545156,prevalence
2011,F,14,-0.3129177748729336,prevalence
2012,F,14,-0.3128657374634599,prevalence
2013,F,14,-0.31298925482633316,prevalence
2014,F,14,-0.313286283689451,prevalence
2015,F,14,-0.3137519355301663,prevalence
2016,F,14,-0.3143785881347166,prevalence
2017,F,14,-0.3151560745008159,prevalence
2018,F,14,-0.3160719201738211,prevalence
2019,F,14,-0.3171117625868312,prevalence
2020,F,14,-0.3182594431340975,prevalence
2021,F,14,-0.3194977076306662,prevalence
2022,F,14,-0.3208084214555114,prevalence
2023,F,14,-0.32217308897489605,prevalence
2024,F,14,-0.32357326272076853,prevalence
2025,F,14,-0.32499093935341206,prevalence
2026,F,14,-0.32499093935341206,prevalence
2000,M,14,-0.31961501732847175,prevalence
2001,M,14,-0.31739851169091055,prevalence
2002,M,14,-0.3151908588115494,prevalence
2003,M,14,-0.3130265854945894,prevalence
2004,M,14,-0.3109415876832408,prevalence
2005,M,14,-0.3089721528675285,prevalence
2006,M,14,-0.3071538793641707,prevalence
2007,M,14,-0.30552061623125576,prevalence
2008,M,14,-0.3041035846617837,prevalence
2009,M,14,-0.3029302184787473,prevalence
2010,M,14,-0.3020236255944148,prevalence
2011,M,14,-0.3014018060837166,prevalence
2012,M,14,-0.30107718455572147,prevalence
2013,M,14,-0.30105626522694046,prevalence
2014,M,14,-0.3013394892772306,prevalence
2015,M,14,-0.30192112941419574,prevalence
