"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Projected population, by projection scenario, age and sex, as of July 1","17100057","052-0005","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710005701",1,"CURRENT - a cube available to the public and that is current","Annual","2021-01-01","2068-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",2,""
"2","Projection scenario",1,""
"3","Sex",,""
"4","Age group",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"4","44 years","","55","50","",,
"4","45 years","","57","56","",,
"4","46 years","","58","56","",,
"4","47 years","","59","56","",,
"4","48 years","","60","56","",,
"4","49 years","","61","56","",,
"4","50 years","","63","62","",,
"4","51 years","","64","62","",,
"4","52 years","","65","62","",,
"4","53 years","","66","62","",,
"4","54 years","","67","62","",,
"4","55 years","","69","68","",,
"4","56 years","","70","68","",,
"4","57 years","","71","68","",,
"4","58 years","","72","68","",,
"4","59 years","","73","68","",,
"4","60 years","","75","74","",,
"4","61 years","","76","74","",,
"4","62 years","","77","74","",,
"4","63 years","","78","74","",,
"4","64 years","","79","74","",,
"4","65 years","","81","80","",,
"4","66 years","","82","80","",,
"4","67 years","","83","80","",,
"4","68 years","","84","80","",,
"4","69 years","","85","80","",,
"4","70 years","","87","86","",,
"4","71 years","","88","86","",,
"4","72 years","","89","86","",,
"4","73 years","","90","86","",,
"4","74 years","","91","86","",,
"4","75 years","","93","92","",,
"4","76 years","","94","92","",,
"4","77 years","","95","92","",,
"4","78 years","","96","92","",,
"4","79 years","","97","92","",,
"4","80 years","","99","98","",,
"4","81 years","","100","98","",,
"4","82 years","","101","98","",,
"4","83 years","","102","98","",,
"4","84 years","","103","98","",,
"4","85 years","","105","104","",,
"4","86 years","","106","104","",,
"4","87 years","","107","104","",,
"4","88 years","","108","104","",,
"4","89 years","","109","104","",,
"4","90 years","","111","110","",,
"4","91 years","","112","110","",,
"4","92 years","","113","110","",,
"4","93 years","","114","110","",,
"4","94 years","","115","110","",,
"4","95 years","","117","116","",,
"4","96 years","","118","116","",,
"4","97 years","","119","116","",,
"4","98 years","","120","116","",,
"4","99 years","","121","116","",,
"4","0 to 4 years","","2","200","",,
"4","5 to 9 years","","8","200","",,
"4","10 to 14 years","","14","200","",,
"4","35 to 39 years","","44","201","",,
"4","40 to 44 years","","50","201","",,
"4","45 to 49 years","","56","201","",,
"4","50 to 54 years","","62","201","",,
"4","55 to 59 years","","68","201","",,
"4","60 to 64 years","","74","201","",,
"4","15 to 19 years","","20","201","",,
"4","20 to 24 years","","26","201","",,
"4","25 to 29 years","","32","201","",,
"4","30 to 34 years","","38","201","",,
"4","65 to 69 years","","80","202","",,
"4","70 to 74 years","","86","202","",,
"4","75 to 79 years","","92","202","",,
"4","80 to 84 years","","98","202","",,
"4","85 to 89 years","","104","202","",,
"4","90 to 94 years","","110","202","",,
"4","95 to 99 years","","116","202","",,
"4","100 years and over","","122","202","",,
"4","All ages","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"3602","Population Projections for Canada, Provinces and Territories"

"Subject Code","Subject Name"
"17","Population and demography"

"Note ID",Note
1,"The base population for these projections is derived from the official preliminary postcensal estimates of the population for Canada, provinces and territories as of July 1, 2018. In all scenarios, the population is projected until 2043 for the provinces and territories, and until 2068 for Canada as a whole. For more detail on the assumptions and scenarios, please refer to the projection report (catalogue 91-520) and the technical report (catalogue 91-620). Because of rounding, counts within tables may differ from the totals."
2,"The population is projected until 2043 for the provinces and territories, and until 2068 for Canada as a whole."
4,"The low-growth scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.40 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 85.6 years for males and 88.8 years for females in 2067/2068; interprovincial migration is based on the trends observed between 1991/1992 and 2016/2017; the immigration rate reaches 0.65% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,080,910 in 2043 and remains constant thereafter; the net emigration rate reaches 0.18% in 2042/2043 and remains constant thereafter."
5,"The medium-growth (M1) scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.59 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 87.0 years for males and 89.0 years for females in 2067/2068; interprovincial migration is based on the trends observed between 1991/1992 and 2016/2017; the immigration rate reaches 0.83% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,397,060 in 2043 and remains constant thereafter; the net emigration rate reaches 0.15% in 2042/2043 and remains constant thereafter."
6,"The medium-growth (M2) scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.59 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 87.0 years for males and 89.0 years for females in 2067/2068; interprovincial migration is based on the trends observed between 1995/1996 and 2010/2011; the immigration rate reaches 0.83% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,397,060 in 2043 and remains constant thereafter; the net emigration rate reaches 0.15% in 2042/2043 and remains constant thereafter."
7,"The medium-growth (M3) scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.59 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 87.0 years for males and 89.0 years for females in 2067/2068; interprovincial migration is based on the trends observed between 2003/2004 and 2008/2009; the immigration rate reaches 0.83% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,397,060 in 2043 and remains constant thereafter; the net emigration rate reaches 0.15% in 2042/2043 and remains constant thereafter."
8,"The medium-growth (M4) scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.59 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 87.0 years for males and 89.0 years for females in 2067/2068; interprovincial migration is based on the trends observed between 2009/2010 and 2016/2017; the immigration rate reaches 0.83% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,397,060 in 2043 and remains constant thereafter; the net emigration rate reaches 0.15% in 2042/2043 and remains constant thereafter."
9,"The medium-growth (M5) scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.59 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 87.0 years for males and 89.0 years for females in 2067/2068; interprovincial migration is based on the trends observed between 2014/2015 and 2016/2017; the immigration rate reaches 0.83% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,397,060 in 2043 and remains constant thereafter; the net emigration rate reaches 0.15% in 2042/2043 and remains constant thereafter."
13,"The high-growth scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.79 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 88.0 years for males and 91.3 years for females in 2067/2068; interprovincial migration is based on the trends observed between 1991/1992 and 2016/2017; the immigration rate reaches 1.08% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,944,400 in 2043 and remains constant thereafter; the net emigration rate reaches 0.13% in 2042/2043 and remains constant thereafter."
14,"The fast-aging scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.40 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 88.0 years for males and 91.3 years for females in 2067/2068; interprovincial migration is based on the trends observed between 1991/1992 and 2016/2017; the immigration rate reaches 0.65% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,080,910 in 2043 and remains constant thereafter; the net emigration rate reaches 0.18% in 2042/2043 and remains constant thereafter."
15,"The slow-aging scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.79 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 85.6 years for males and 88.8 years for females in 2067/2068; interprovincial migration is based on the trends observed between 1991/1992 and 2016/2017; the immigration rate reaches 1.08% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,944,400 in 2043 and remains constant thereafter; the net emigration rate reaches 0.13% in 2042/2043 and remains constant thereafter."
16,"The medium-growth (M6) scenario contains the following assumptions at the Canada level: the total fertility rate reaches 1.59 children per woman in 2042/2043 and remains constant thereafter; life expectancy at birth reaches 83.7 years for males and 87.4 years for females in 2042/2043; interprovincial migration is based on the trends observed between 2018/2019 and 2020/2021; the immigration rate reaches 0.83% in 2042/2043 and remains constant thereafter; the annual number of non-permanent residents reaches 1,795,809 in 2043 and remains constant thereafter; the net emigration rate reaches 0.15% in 2042/2043 and remains constant thereafter."

"Correction ID","Correction Date","Correction Note"
